Time (s),Mass A X (m),Mass A Y (m),Mass B X (m),Mass B Y (m)
13.20132,-0.02384843,-0.001003982,0.02397878,-0.001674962
13.23466,-0.02648349,-0.0004898885,0.02610896,-0.00130261
13.26799,-0.02764148,-0.0001787369,0.0267636,-0.001120584
13.30133,-0.02694602,-0.0003517031,0.02579119,-0.001349039
13.33467,-0.02458682,-0.0008458652,0.02347399,-0.00172652
13.368,-0.02147463,-0.001236897,0.02058444,-0.001969488
13.40134,-0.01869303,-0.001341607,0.01823898,-0.002002621
13.43468,-0.01756009,-0.001281648,0.01758129,-0.001966556
13.46801,-0.01856677,-0.00132968,0.01907743,-0.002024874
13.50135,-0.02119526,-0.001251174,0.02190221,-0.001895938
13.53469,-0.02409606,-0.0009547914,0.02489688,-0.001500532
13.56802,-0.02633459,-0.0005402811,0.02689428,-0.001064004
13.60136,-0.02711217,-0.0003758386,0.02724335,-0.0009620734
13.6347,-0.02607752,-0.0006272789,0.02585486,-0.001295708
13.66803,-0.02373053,-0.001053233,0.02310645,-0.001747058
13.70137,-0.020872,-0.001313999,0.01994103,-0.001962771
13.73471,-0.01864542,-0.001344817,0.01761932,-0.001963814
13.76804,-0.01815129,-0.001319416,0.01726682,-0.00194393
13.80138,-0.01961701,-0.001329992,0.01903163,-0.00202826
13.83472,-0.0222768,-0.001173125,0.0221202,-0.00188059
13.86805,-0.02490634,-0.0007858075,0.02511091,-0.001460142
13.90139,-0.02658316,-0.0004224629,0.02703062,-0.001032907
13.93473,-0.02669078,-0.0003986359,0.02729062,-0.0009437853
13.96806,-0.025184,-0.0007455979,0.02574148,-0.001337045
